FamilyName	StyleName	xHeight	CapHeight	Weight	Contrast	Lesser Thickness Slope	Superior Overshooting	Inferior Overshooting	Ascenders	Descenders	n Expansion	o Expansion	n/o Ratio	O Expansion	R Expansion	R/O Ratio	AltezzaMassimaH	PuntoMedioAstaOrizzontaleH	PuntoMedioAstaVerticaleT	AggettoSinistroT	AggettoDestroT	SimmetriaAggettiT	o Average Squaring	o Internal Squaring	o External Squaring	Bezier	Grazie	Spacing
Adobe Caslon	Semibold	419	1.6945	0.2506	0.33	-9	0.0239	0.0286	1.7255	-0.6527	0.6587	0.7828	0.84	1.4606	0.8177	0.56	709.5	0.5201	0.4903	100	98	True	0.665	0.668	0.662	curve	Serif	Proportional
Bell Gothic	Bold	523	1.4034	0.1721	0.79	5	0.0249	0.021	1.4244	-0.174	0.5163	0.6166	0.84	0.7457	0.7113	0.95	734	0.5204	0.5016	214	213	True	0.62	0.61	0.63	curve	Sans	Proportional
Bell Gothic	Light	479	1.3862	0.1294	0.86	-1	0.0271	0.0188	1.4634	-0.1858	0.5992	0.6701	0.89	0.833	0.7547	0.91	664	0.5241	0.5	212	213	False	0.6162	0.6119	0.6206	curve	Sans	Proportional
Antique Olive	Black	623	1.191	0.321	0.82	0	0.0289	0.0289	1.2423	-0.1348	0.5698	0.6629	0.86	0.748	0.6132	0.82	742	0.5135	0.5	190	190	False	0.657	0.6488	0.6652	curve	Sans	Proportional
Antique Olive	Bold	623	1.191	0.2408	0.81	0	0.0289	0.0289	1.2423	-0.1348	0.6083	0.7207	0.84	0.8026	0.6404	0.8	742	0.5135	0.5	191	191	False	0.6603	0.6591	0.6615	curve	Sans	Proportional
Antique Olive	Bold Condensed	606	1.1782	0.2673	0.88	-81	0.0149	0.0149	1.2409	-0.1246	0.368	0.4191	0.88	0.4785	0.401	0.84	714	0.5056	0.5	116	116	False	0.7313	0.7682	0.6944	curve	Sans	Proportional
Antique Olive	Compact	601	1.188	0.4343	0.74	0	0.03	0.03	1.2412	-0.1281	0.6639	0.7438	0.89	0.8037	0.7621	0.95	714	0.5	0.5	188	188	False	0.7223	0.7349	0.7097	curve	Sans	Proportional
Antique Olive	Light	595	1.2471	0.121	0.8	66	0.0202	0.0202	1.3327	-0.1311	0.6403	0.7731	0.83	0.8286	0.6941	0.84	742	0.5	0.5	208	208	False	0.6427	0.6545	0.631	curve	Sans	Proportional
Antique Olive	Nord	605	1.1802	0.5603	0.59	0	0.0347	0.0347	1.2545	-0.1421	0.8545	0.8843	0.97	1.0165	0.9455	0.93	714	0.472	0.5	212	212	False	0.6935	0.6909	0.6961	curve	Sans	Proportional
Antique Olive	Roman	623	1.191	0.1798	0.86	0	0.0225	0.0225	1.2423	-0.1316	0.6404	0.74	0.87	0.8154	0.6581	0.81	742	0.5189	0.5	206	206	False	0.6493	0.6478	0.6508	curve	Sans	Proportional
